k-nucleotide ; 102.621765136718750000, 93.491027832031250000,  ,  ,  5423.02 
k-nucleotide ; 101.171936035156250000, 92.446411132812500000,  ,  ,  5234.25 
k-nucleotide ; 101.330444335937500000, 92.444213867187500000,  ,  ,  5279.54 
k-nucleotide ; 100.163574218750000000, 91.424438476562500000,  ,  ,  5199.83 
k-nucleotide ; 101.025634765625000000, 92.207946777343750000,  ,  ,  5268.18 
k-nucleotide ; 102.800231933593750000, 93.874755859375000000,  ,  ,  5326.35 
k-nucleotide ; 100.850097656250000000, 92.077636718750000000,  ,  ,  5253.88 
k-nucleotide ; 100.350769042968750000, 91.573303222656250000,  ,  ,  5229.98 
k-nucleotide ; 99.222839355468750000, 90.598327636718750000,  ,  ,  5156.13 
k-nucleotide ; 101.680053710937500000, 92.796325683593750000,  ,  ,  5319.95 
pidigits ; 15.891723632812500000, 14.056030273437500000,  ,  ,  1249.32 
pidigits ; 15.510986328125000000, 13.772155761718750000,  ,  ,  1222.3 
pidigits ; 15.379882812500000000, 13.646728515625000000,  ,  ,  1213.33 
pidigits ; 15.482604980468750000, 13.725891113281250000,  ,  ,  1224.75 
pidigits ; 15.468994140625000000, 13.712219238281250000,  ,  ,  1218.96 
pidigits ; 15.546630859375000000, 13.777709960937500000,  ,  ,  1227.62 
pidigits ; 15.660827636718750000, 13.924865722656250000,  ,  ,  1222.79 
pidigits ; 15.750427246093750000, 13.999755859375000000,  ,  ,  1223.5 
pidigits ; 15.671875000000000000, 13.916748046875000000,  ,  ,  1230.19 
pidigits ; 15.649353027343750000, 13.855468750000000000,  ,  ,  1223.46 
mandelbrot ; 82.753234863281250000, 77.214965820312500000,  ,  ,  3845.96 
mandelbrot ; 82.283264160156250000, 76.774414062500000000,  ,  ,  3841.97 
mandelbrot ; 82.527282714843750000, 77.012939453125000000,  ,  ,  3842.55 
mandelbrot ; 82.647216796875000000, 77.133300781250000000,  ,  ,  3840.02 
mandelbrot ; 82.597961425781250000, 77.072387695312500000,  ,  ,  3840.45 
mandelbrot ; 82.541137695312500000, 77.013305664062500000,  ,  ,  3844.82 
mandelbrot ; 82.704101562500000000, 77.179199218750000000,  ,  ,  3844.2 
mandelbrot ; 82.921020507812500000, 77.400451660156250000,  ,  ,  3849.83 
mandelbrot ; 82.506713867187500000, 76.985595703125000000,  ,  ,  3840.01 
mandelbrot ; 82.501525878906250000, 76.991577148437500000,  ,  ,  3839.82 
n-body ; 53.950317382812500000, 47.099243164062500000,  ,  ,  4781.04 
n-body ; 53.811828613281250000, 46.984924316406250000,  ,  ,  4779.43 
n-body ; 53.150329589843750000, 46.368225097656250000,  ,  ,  4744.56 
n-body ; 53.724975585937500000, 46.909179687500000000,  ,  ,  4772.9 
n-body ; 53.502685546875000000, 46.711486816406250000,  ,  ,  4759.6 
n-body ; 53.952636718750000000, 47.126647949218750000,  ,  ,  4769.37 
n-body ; 54.105346679687500000, 47.296203613281250000,  ,  ,  4773.09 
n-body ; 54.179443359375000000, 47.389343261718750000,  ,  ,  4773.96 
n-body ; 53.837158203125000000, 47.035583496093750000,  ,  ,  4762.26 
n-body ; 54.572875976562500000, 47.745666503906250000,  ,  ,  4778.6 
fannkuch-redux ; 306.556091308593750000, 288.353149414062500000,  ,  ,  12691.8 
fannkuch-redux ; 305.154724121093750000, 287.053039550781250000,  ,  ,  12627.3 
fannkuch-redux ; 304.242065429687500000, 286.079956054687500000,  ,  ,  12646.8 
fannkuch-redux ; 304.262573242187500000, 286.195861816406250000,  ,  ,  12615.5 
fannkuch-redux ; 303.503051757812500000, 285.568664550781250000,  ,  ,  12570.8 
fannkuch-redux ; 304.677368164062500000, 286.741333007812500000,  ,  ,  12573.4 
fannkuch-redux ; 303.277465820312500000, 285.242492675781250000,  ,  ,  12637.6 
fannkuch-redux ; 303.216735839843750000, 285.363342285156250000,  ,  ,  12499.5 
fannkuch-redux ; 298.987304687500000000, 281.160339355468750000,  ,  ,  12487.2 
fannkuch-redux ; 304.385559082031250000, 286.271728515625000000,  ,  ,  12656.3 
chameneos-redux ; 131.312683105468750000, 122.775024414062500000,  ,  ,  5955.53 
chameneos-redux ; 131.190612792968750000, 122.639343261718750000,  ,  ,  5970.18 
chameneos-redux ; 130.269226074218750000, 121.813720703125000000,  ,  ,  5919.68 
chameneos-redux ; 131.277648925781250000, 122.719421386718750000,  ,  ,  5972.52 
chameneos-redux ; 129.929992675781250000, 121.464050292968750000,  ,  ,  5930.65 
chameneos-redux ; 132.906738281250000000, 124.290588378906250000,  ,  ,  6028.08 
chameneos-redux ; 131.551208496093750000, 123.056396484375000000,  ,  ,  5940.95 
chameneos-redux ; 131.499633789062500000, 122.982543945312500000,  ,  ,  5949.49 
chameneos-redux ; 131.999572753906250000, 123.444335937500000000,  ,  ,  5977.16 
chameneos-redux ; 131.020629882812500000, 122.492919921875000000,  ,  ,  5968.82 
spectral-norm ; 14.055786132812500000, 13.233215332031250000,  ,  ,  578.187 
spectral-norm ; 14.221374511718750000, 13.373229980468750000,  ,  ,  581.184 
spectral-norm ; 14.238403320312500000, 13.392150878906250000,  ,  ,  591.01 
spectral-norm ; 14.161010742187500000, 13.328063964843750000,  ,  ,  583.836 
spectral-norm ; 14.072448730468750000, 13.237731933593750000,  ,  ,  574.562 
spectral-norm ; 14.117309570312500000, 13.296875000000000000,  ,  ,  584.457 
spectral-norm ; 14.163879394531250000, 13.320434570312500000,  ,  ,  583.258 
spectral-norm ; 14.094482421875000000, 13.262939453125000000,  ,  ,  584.628 
spectral-norm ; 14.090759277343750000, 13.248779296875000000,  ,  ,  578.526 
spectral-norm ; 14.133239746093750000, 13.298583984375000000,  ,  ,  586.851 
fasta ; 43.068176269531250000, 40.261840820312500000,  ,  ,  1906.83 
fasta ; 41.337890625000000000, 38.672851562500000000,  ,  ,  1818.76 
fasta ; 44.395324707031250000, 41.542297363281250000,  ,  ,  1944.78 
fasta ; 45.116333007812500000, 42.193359375000000000,  ,  ,  1994.15 
fasta ; 45.539428710937500000, 42.594421386718750000,  ,  ,  2002.21 
fasta ; 47.585571289062500000, 44.495544433593750000,  ,  ,  2114.12 
fasta ; 43.846496582031250000, 41.017211914062500000,  ,  ,  1927.25 
fasta ; 46.405761718750000000, 43.403076171875000000,  ,  ,  2041.73 
fasta ; 42.288269042968750000, 39.532836914062500000,  ,  ,  1872.96 
fasta ; 45.063537597656250000, 42.120788574218750000,  ,  ,  2015.41 
binary-trees ; 196.897277832031250000, 176.484313964843750000,  ,  ,  11693.9 
binary-trees ; 180.997619628906250000, 161.242858886718750000,  ,  ,  11447.2 
binary-trees ; 174.819274902343750000, 155.557128906250000000,  ,  ,  11333.1 
binary-trees ; 168.640625000000000000, 149.973449707031250000,  ,  ,  10968.9 
binary-trees ; 174.246948242187500000, 154.901123046875000000,  ,  ,  11329 
binary-trees ; 174.124328613281250000, 154.893066406250000000,  ,  ,  11230.2 
binary-trees ; 170.388061523437500000, 151.526611328125000000,  ,  ,  11061.4 
binary-trees ; 171.193969726562500000, 152.319458007812500000,  ,  ,  11077.8 
binary-trees ; 173.802185058593750000, 154.429626464843750000,  ,  ,  11371.1 
binary-trees ; 174.152893066406250000, 154.893432617187500000,  ,  ,  11289 
reverse-complement ; 14.825317382812500000, 13.148925781250000000,  ,  ,  990.752 
reverse-complement ; 14.611022949218750000, 12.960510253906250000,  ,  ,  983.709 
reverse-complement ; 14.768798828125000000, 13.090454101562500000,  ,  ,  1005.21 
reverse-complement ; 14.639160156250000000, 12.974121093750000000,  ,  ,  991.816 
reverse-complement ; 14.623962402343750000, 12.961242675781250000,  ,  ,  991.936 
reverse-complement ; 14.610351562500000000, 12.937500000000000000,  ,  ,  993.602 
reverse-complement ; 14.518981933593750000, 12.864868164062500000,  ,  ,  992.673 
reverse-complement ; 14.611389160156250000, 12.947753906250000000,  ,  ,  994.965 
reverse-complement ; 14.588256835937500000, 12.914367675781250000,  ,  ,  992.49 
reverse-complement ; 15.090576171875000000, 13.392517089843750000,  ,  ,  1026.23 
thread-ring ; 5485.475097656250000000, 4882.021972656250000000,  ,  ,  388521 
thread-ring ; 5457.853393554687500000, 4856.961303710937500000,  ,  ,  386514 
thread-ring ; 5473.641418457031250000, 4866.852844238281250000,  ,  ,  390189 
thread-ring ; 5417.206298828125000000, 4822.805053710937500000,  ,  ,  381716 
thread-ring ; 5574.403625488281250000, 4959.746337890625000000,  ,  ,  395677 
thread-ring ; 5588.394348144531250000, 4973.246398925781250000,  ,  ,  395804 
thread-ring ; 5668.963317871093750000, 5044.528991699218750000,  ,  ,  402587 
thread-ring ; 5607.091979980468750000, 4990.159667968750000000,  ,  ,  396996 
thread-ring ; 5415.792053222656250000, 4824.392333984375000000,  ,  ,  379963 
thread-ring ; 5572.801330566406250000, 4951.082702636718750000,  ,  ,  400373 
regex-redux ; 224.745117187500000000, 211.000366210937500000,  ,  ,  9260.18 
regex-redux ; 231.585571289062500000, 217.378234863281250000,  ,  ,  9621.8 
regex-redux ; 223.895996093750000000, 210.382873535156250000,  ,  ,  9119.64 
regex-redux ; 206.596740722656250000, 194.296813964843750000,  ,  ,  8288.38 
regex-redux ; 238.981933593750000000, 224.295104980468750000,  ,  ,  9958.21 
regex-redux ; 231.542907714843750000, 217.229248046875000000,  ,  ,  9680.94 
regex-redux ; 231.887573242187500000, 217.698181152343750000,  ,  ,  9591.47 
regex-redux ; 218.081787109375000000, 204.962890625000000000,  ,  ,  8840.02 
regex-redux ; 228.719116210937500000, 214.754577636718750000,  ,  ,  9436.43 
regex-redux ; 215.733154296875000000, 202.925903320312500000,  ,  ,  8636.04 
