pidigits ; 0.178039550781250000, 0.092346191406250000,  ,  ,  40.868 
pidigits ; 0.022033691406250000, 0.018554687500000000,  ,  ,  1.999 
pidigits ; 0.010009765625000000, 0.017761230468750000,  ,  ,  1.91 
pidigits ; 0.021667480468750000, 0.020996093750000000,  ,  ,  1.897 
pidigits ; 0.045776367187500000, 0.030151367187500000,  ,  ,  2.536 
pidigits ; 0.046508789062500000, 0.036560058593750000,  ,  ,  3.173 
pidigits ; 0.051635742187500000, 0.038208007812500000,  ,  ,  2.826 
pidigits ; 0.020812988281250000, 0.018676757812500000,  ,  ,  2.154 
pidigits ; 0.023254394531250000, 0.016479492187500000,  ,  ,  1.925 
pidigits ; 0.021972656250000000, 0.019714355468750000,  ,  ,  2.137 
k-nucleotide ; 1196.196777343750000000, 1036.644226074218750000,  ,  ,  90069.4 
k-nucleotide ; 1141.980468750000000000, 1014.493957519531250000,  ,  ,  80738.3 
k-nucleotide ; 1166.416931152343750000, 1042.618774414062500000,  ,  ,  83238.1 
k-nucleotide ; 1124.500854492187500000, 1008.221557617187500000,  ,  ,  80957.3 
k-nucleotide ; 1119.796142578125000000, 1004.020996093750000000,  ,  ,  80597.1 
k-nucleotide ; 1121.395629882812500000, 1005.190979003906250000,  ,  ,  80865.8 
k-nucleotide ; 1147.796264648437500000, 1030.139648437500000000,  ,  ,  81881.5 
k-nucleotide ; 1141.536071777343750000, 1023.414123535156250000,  ,  ,  81562 
k-nucleotide ; 1136.530029296875000000, 1018.551757812500000000,  ,  ,  81111.3 
k-nucleotide ; 1227.324279785156250000, 1078.331054687500000000,  ,  ,  84695.5 
pidigits ; 0.133422851562500000, 0.073852539062500000,  ,  ,  40.33 
pidigits ; 0.023193359375000000, 0.020690917968750000,  ,  ,  1.912 
pidigits ; 0.024841308593750000, 0.019592285156250000,  ,  ,  1.849 
pidigits ; 0.025451660156250000, 0.020385742187500000,  ,  ,  1.842 
pidigits ; 0.012268066406250000, 0.019409179687500000,  ,  ,  1.826 
pidigits ; 0.025390625000000000, 0.020935058593750000,  ,  ,  1.825 
pidigits ; 0.026062011718750000, 0.020019531250000000,  ,  ,  1.832 
pidigits ; 0.024902343750000000, 0.019897460937500000,  ,  ,  1.829 
pidigits ; 0.025146484375000000, 0.021118164062500000,  ,  ,  1.852 
pidigits ; 0.027832031250000000, 0.022155761718750000,  ,  ,  1.846 
mandelbrot ; 1732.010009765625000000, 1613.265869140625000000,  ,  ,  65934.9 
mandelbrot ; 1635.861206054687500000, 1534.886474609375000000,  ,  ,  63385.4 
mandelbrot ; 1680.029724121093750000, 1570.862670898437500000,  ,  ,  66187.8 
mandelbrot ; 1631.742370605468750000, 1529.750122070312500000,  ,  ,  63894.6 
mandelbrot ; 1631.071594238281250000, 1531.426879882812500000,  ,  ,  63617.4 
mandelbrot ; 1639.454101562500000000, 1539.068237304687500000,  ,  ,  64184.8 
mandelbrot ; 1656.774353027343750000, 1550.297607421875000000,  ,  ,  66088.3 
mandelbrot ; 1634.282653808593750000, 1532.538391113281250000,  ,  ,  63716.4 
mandelbrot ; 1664.764709472656250000, 1558.558837890625000000,  ,  ,  64414.6 
mandelbrot ; 1643.113891601562500000, 1541.842895507812500000,  ,  ,  63855.4 
n-body ; 1588.210021972656250000, 1407.049682617187500000,  ,  ,  124091 
n-body ; 1512.705139160156250000, 1345.341552734375000000,  ,  ,  116583 
n-body ; 1633.241577148437500000, 1453.300537109375000000,  ,  ,  125821 
n-body ; 1533.319519042968750000, 1365.548950195312500000,  ,  ,  116829 
n-body ; 1619.162963867187500000, 1440.274475097656250000,  ,  ,  125324 
n-body ; 1527.039428710937500000, 1359.877197265625000000,  ,  ,  116470 
n-body ; 1602.220764160156250000, 1425.224243164062500000,  ,  ,  123966 
n-body ; 1612.609375000000000000, 1434.915222167968750000,  ,  ,  123913 
n-body ; 1615.881835937500000000, 1438.429199218750000000,  ,  ,  124355 
n-body ; 1536.389709472656250000, 1368.574584960937500000,  ,  ,  116896 
fannkuch-redux ; 5222.661926269531250000, 4649.997985839843750000,  ,  ,  401362 
fannkuch-redux ; 5212.810546875000000000, 4638.733764648437500000,  ,  ,  402441 
fannkuch-redux ; 5183.764282226562500000, 4609.379333496093750000,  ,  ,  400726 
fannkuch-redux ; 5162.838928222656250000, 4591.137207031250000000,  ,  ,  400842 
fannkuch-redux ; 5226.650268554687500000, 4645.729797363281250000,  ,  ,  401287 
fannkuch-redux ; 5324.788574218750000000, 4675.289306640625000000,  ,  ,  404574 
fannkuch-redux ; 5418.053161621093750000, 4741.610961914062500000,  ,  ,  409115 
fannkuch-redux ; 5198.638000488281250000, 4617.401794433593750000,  ,  ,  402092 
fannkuch-redux ; 5240.799499511718750000, 4619.866821289062500000,  ,  ,  403032 
fannkuch-redux ; 5169.433959960937500000, 4589.615478515625000000,  ,  ,  401779 
spectral-norm ; 902.404663085937500000, 797.375854492187500000,  ,  ,  67988 
spectral-norm ; 888.975036621093750000, 791.410339355468750000,  ,  ,  67936.8 
spectral-norm ; 894.562622070312500000, 796.023254394531250000,  ,  ,  67963.6 
spectral-norm ; 888.429626464843750000, 790.144165039062500000,  ,  ,  67434.8 
spectral-norm ; 893.329345703125000000, 796.095336914062500000,  ,  ,  68050.3 
spectral-norm ; 894.417541503906250000, 797.362670898437500000,  ,  ,  68042.6 
spectral-norm ; 891.987731933593750000, 794.269714355468750000,  ,  ,  68023.1 
spectral-norm ; 889.484313964843750000, 792.157409667968750000,  ,  ,  68087.1 
spectral-norm ; 890.740478515625000000, 793.231811523437500000,  ,  ,  67919.1 
spectral-norm ; 885.839721679687500000, 789.021606445312500000,  ,  ,  67864.7 
fasta ; 279.133728027343750000, 247.884155273437500000,  ,  ,  20875.6 
fasta ; 285.771240234375000000, 252.320190429687500000,  ,  ,  21069.2 
fasta ; 285.449218750000000000, 252.640808105468750000,  ,  ,  20979.6 
fasta ; 281.188842773437500000, 249.889038085937500000,  ,  ,  20858 
fasta ; 280.861022949218750000, 249.148437500000000000,  ,  ,  20696.4 
fasta ; 284.789306640625000000, 249.972412109375000000,  ,  ,  20865.3 
fasta ; 288.288574218750000000, 254.243713378906250000,  ,  ,  21100.5 
fasta ; 288.735717773437500000, 253.888305664062500000,  ,  ,  21104.2 
fasta ; 287.678527832031250000, 253.305114746093750000,  ,  ,  21033.1 
fasta ; 283.917419433593750000, 250.289428710937500000,  ,  ,  20959.6 
binary-trees ; 1504.850097656250000000, 1308.899658203125000000,  ,  ,  123023 
binary-trees ; 1504.091003417968750000, 1308.596679687500000000,  ,  ,  122753 
binary-trees ; 1515.994201660156250000, 1319.599121093750000000,  ,  ,  122575 
binary-trees ; 1535.812866210937500000, 1331.521545410156250000,  ,  ,  123151 
binary-trees ; 1497.060668945312500000, 1302.129821777343750000,  ,  ,  121722 
binary-trees ; 1504.193481445312500000, 1308.794921875000000000,  ,  ,  122692 
binary-trees ; 1514.048034667968750000, 1317.192504882812500000,  ,  ,  123084 
binary-trees ; 1503.179504394531250000, 1308.310913085937500000,  ,  ,  122326 
binary-trees ; 1503.384216308593750000, 1308.419189453125000000,  ,  ,  122461 
binary-trees ; 1513.472656250000000000, 1316.836242675781250000,  ,  ,  122888 
reverse-complement ; 154.967041015625000000, 131.794860839843750000,  ,  ,  13891.7 
reverse-complement ; 133.257812500000000000, 118.564331054687500000,  ,  ,  9590.04 
reverse-complement ; 134.404663085937500000, 119.099182128906250000,  ,  ,  9672.77 
reverse-complement ; 135.516235351562500000, 120.762878417968750000,  ,  ,  9794.63 
reverse-complement ; 135.627990722656250000, 121.196777343750000000,  ,  ,  9841.65 
reverse-complement ; 134.935119628906250000, 120.570190429687500000,  ,  ,  9797.12 
reverse-complement ; 129.625244140625000000, 115.879089355468750000,  ,  ,  9372.75 
reverse-complement ; 135.566650390625000000, 121.111755371093750000,  ,  ,  9799.35 
reverse-complement ; 134.446350097656250000, 120.106872558593750000,  ,  ,  9714.93 
reverse-complement ; 133.372192382812500000, 119.115722656250000000,  ,  ,  9648.72 
regex-redux ; 227.670898437500000000, 201.495056152343750000,  ,  ,  18062 
regex-redux ; 226.141906738281250000, 201.565612792968750000,  ,  ,  17067.4 
regex-redux ; 227.143615722656250000, 202.434204101562500000,  ,  ,  17115.3 
regex-redux ; 224.750854492187500000, 200.238525390625000000,  ,  ,  17069.7 
regex-redux ; 224.014648437500000000, 199.544189453125000000,  ,  ,  17032.5 
regex-redux ; 224.157104492187500000, 199.578125000000000000,  ,  ,  17086.8 
regex-redux ; 225.893859863281250000, 201.389892578125000000,  ,  ,  17066.9 
regex-redux ; 225.356323242187500000, 200.792724609375000000,  ,  ,  17110.6 
regex-redux ; 225.323608398437500000, 200.866882324218750000,  ,  ,  16993.5 
regex-redux ; 225.309509277343750000, 200.808959960937500000,  ,  ,  17075.9 
